pair_id,label,method,horizon_ms,block_index,target_frame_index,target_frame_start_sample,target_reference_sample,target_time_s,target_odd_cfo_hz,cutoff_sample,cutoff_time_s,training_cutoff_frame_start_sample,training_stop_reference_sample,training_stop_time_s,last_training_age_ms,actual_forecast_s,selected_history_ms,cfo_hz_at_cutoff,rate_hz_s,prediction_hz,prediction_sigma_hz,odd_residual_hz
D1:125101941:312500samples,D1,fixed_500ms,125.0,50,780,125101941,125103613,50.0414452,-192504.056781,124791113,49.9164452,124788607,124790279,49.9161116,0.3336,0.1253336,500.0,-192035.7013443764,-3734.3026109672414,-192503.73493409832,8.24379542272128,-0.32184690167196095
D1:125101941:312500samples,D1,adaptive_75_500ms,125.0,50,780,125101941,125103613,50.0414452,-192504.056781,124791113,49.9164452,124788607,124790279,49.9161116,0.3336,0.1253336,500.0,-192035.7013443764,-3734.3026109672414,-192503.73493409832,8.24379542272128,-0.32184690167196095
D1:125151941:312500samples,D1,fixed_125ms,125.0,50,795,125151941,125153613,50.0614452,-192579.041038,124841113,49.9364452,124835274,124836946,49.9347784,1.6668,0.1266668,125.0,-192121.9312595386,-3997.877873916436,-192628.32965661839,30.25936191211669,49.28861861838959
D1:125151941:312500samples,D1,fixed_500ms,125.0,50,795,125151941,125153613,50.0614452,-192579.041038,124841113,49.9364452,124835274,124836946,49.9347784,1.6668,0.1266668,500.0,-192108.12689767522,-3740.2472813222357,-192581.892052009,8.289699458901302,2.8510140090074856
D1:125151941:312500samples,D1,adaptive_75_500ms,125.0,50,795,125151941,125153613,50.0614452,-192579.041038,124841113,49.9364452,124835274,124836946,49.9347784,1.6668,0.1266668,500.0,-192108.12689767522,-3740.2472813222357,-192581.892052009,8.289699458901302,2.8510140090074856
D1:125201941:312500samples,D1,fixed_125ms,125.0,50,810,125201941,125203613,50.0814452,-192637.123368,124891113,49.9564452,124888607,124890279,49.9561116,0.3336,0.1253336,125.0,-192200.174989145,-3926.3438063749445,-192692.27779323567,31.754656731964573,55.154425235668896
D1:125201941:312500samples,D1,fixed_500ms,125.0,50,810,125201941,125203613,50.0814452,-192637.123368,124891113,49.9564452,124888607,124890279,49.9561116,0.3336,0.1253336,500.0,-192188.6415757566,-3743.446974178679,-192657.82126143953,8.326965596286927,20.697893439530162
D1:125201941:312500samples,D1,adaptive_75_500ms,125.0,50,810,125201941,125203613,50.0814452,-192637.123368,124891113,49.9564452,124888607,124890279,49.9561116,0.3336,0.1253336,500.0,-192188.6415757566,-3743.446974178679,-192657.82126143953,8.326965596286927,20.697893439530162
D1:125251941:312500samples,D1,fixed_125ms,125.0,50,825,125251941,125253613,50.1014452,-192690.99285,124941113,49.9764452,124938607,124940279,49.9761116,0.3336,0.1253336,125.0,-192262.15526989,-3800.1801263882135,-192738.4455257787,30.28980767486984,47.452675778680714
D1:125251941:312500samples,D1,fixed_500ms,125.0,50,825,125251941,125253613,50.1014452,-192690.99285,124941113,49.9764452,124938607,124940279,49.9761116,0.3336,0.1253336,500.0,-192258.58924713483,-3726.347935571523,-192725.6258487526,8.261712227855101,34.63299875258235
D1:125251941:312500samples,D1,adaptive_75_500ms,125.0,50,825,125251941,125253613,50.1014452,-192690.99285,124941113,49.9764452,124938607,124940279,49.9761116,0.3336,0.1253336,500.0,-192258.58924713483,-3726.347935571523,-192725.6258487526,8.261712227855101,34.63299875258235
D1:125301941:312500samples,D1,fixed_125ms,125.0,50,840,125301941,125303613,50.1214452,-192807.007801,124991113,49.9964452,124988607,124990279,49.9961116,0.3336,0.1253336,125.0,-192334.0340418549,-3707.4172123546678,-192798.69798778128,30.924443059361227,-8.309813218715135
D1:125301941:312500samples,D1,fixed_500ms,125.0,50,840,125301941,125303613,50.1214452,-192807.007801,124991113,49.9964452,124988607,124990279,49.9961116,0.3336,0.1253336,500.0,-192334.22774931157,-3731.158795742118,-192801.8673133536,8.2788896196212,-5.140487646393012
D1:125301941:312500samples,D1,adaptive_75_500ms,125.0,50,840,125301941,125303613,50.1214452,-192807.007801,124991113,49.9964452,124988607,124990279,49.9961116,0.3336,0.1253336,500.0,-192334.22774931157,-3731.158795742118,-192801.8673133536,8.2788896196212,-5.140487646393012
D1:125351941:312500samples,D1,fixed_125ms,125.0,50,855,125351941,125353613,50.1414452,-192901.858437,125041113,50.0164452,125038607,125040279,50.0161116,0.3336,0.1253336,125.0,-192395.54625192212,-3508.754892977444,-192835.3111341766,29.33527585919607,-66.54730282339733
