scenario_id,estimator,history_s,frame_start_sample,reference_time_s,status,selected_history_s,estimate_rate_hz_s,rate_sigma_hz_s,receiver_truth_rate_hz_s,physical_truth_rate_hz_s,receiver_error_hz_s,physical_error_hz_s,receiver_covered_95,physical_covered_95,receiver_failure,physical_failure,step_phase,background_session_id,seed,truth_rate_hz_s,truth_acceleration_hz_s2,truth_jerk_hz_s3,snr_db,frame_occupancy,alias_change_hz,cfo_step_hz,sample_clock_offset_ppm
P008,causal_20ms_linear,0.02,92530000,1.0126688,warmup,,,,6010.159114774016,6010.159114774016,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,92686667,1.0753355999999998,warmup,,,,6061.119797894104,6061.119797894104,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,92720000,1.0886688,warmup,,,,6072.114363414016,6072.114363414016,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,92786667,1.1153355999999999,warmup,,,,6094.263825094104,6094.263825094104,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,92983333,1.194002,warmup,,,,6160.8471164006005,6160.8471164006005,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,93166667,1.2673356,warmup,,,,6224.588728454104,6224.588728454104,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,93266667,1.3073355999999998,warmup,,,,6260.036755654104,6260.036755654104,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,93403333,1.362002,warmup,,,,6309.2584172006,6309.2584172006,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,93426667,1.3713355999999999,warmup,,,,6317.751999174104,6317.751999174104,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
P008,causal_20ms_linear,0.02,93446667,1.3793355999999999,warmup,,,,6325.0528046141035,6325.0528046141035,,,,,,,no_step,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0
