left_visit,right_visit,target_index,channel,overlapping_edge_group,split,left_start_counter,left_end_counter_exclusive,right_start_counter,right_end_counter_exclusive,gap_samples,all_four_sparse_acquisitions_pass,left_rx0_absolute_cfo_hz,left_rx0_candidate_rank,left_rx1_absolute_cfo_hz,left_rx1_candidate_rank,right_rx0_absolute_cfo_hz,right_rx0_candidate_rank,right_rx1_absolute_cfo_hz,right_rx1_candidate_rank
1732,1733,7,4,316,evaluation,494492971690,494494171690,494494174134,494495374134,2444,False,18094.55602305464,0,,,17729.552180680388,0,699807.0092447293,0
1735,1736,4,1,317,evaluation,494496980024,494498180024,494498183939,494499383939,3915,True,21938.665495920402,0,738041.7291670006,0,21527.51713192108,0,703559.6209503618,0
1743,1744,4,1,318,evaluation,494508011282,494509211282,494509211693,494510411693,411,False,18138.24870194134,1,,,17706.486396848457,0,734219.2281555734,0
1744,1745,4,1,318,evaluation,494509211693,494510411693,494510418762,494511618762,7069,True,17706.486396848457,0,734219.2281555734,0,17315.585914109834,0,699366.0489273416,0
1747,1748,4,1,319,evaluation,494513229941,494514429941,494514436401,494515636401,6460,True,16397.641996712424,0,698426.4227247457,0,15966.044715086115,1,697980.2569204438,0
1750,1751,6,3,320,evaluation,494517241333,494518441333,494518441389,494519641389,56,False,,,,,,,,
1755,1756,4,1,321,evaluation,494524061950,494525261950,494525265966,494526465966,4016,False,12622.013848623319,0,728429.3867257148,3,12176.742226576956,0,,
1763,1764,6,3,322,evaluation,494535096563,494536296563,494536301433,494537501433,4870,False,,,,,,,,
1764,1765,6,3,322,evaluation,494536301433,494537501433,494537507558,494538707558,6125,False,,,,,,,,
1765,1766,6,3,322,evaluation,494537507558,494538707558,494538711842,494539911842,4284,False,,,,,,,,
1768,1769,4,1,323,evaluation,494541521981,494542721981,494542727420,494543927420,5439,True,6875.720015271392,0,688951.4736436636,0,6471.055777374713,0,688561.335584361,0
1774,1775,4,1,324,evaluation,494549743247,494550943247,494550948186,494552148186,4939,False,4164.995445925335,0,686296.8691974045,0,3730.8045739838853,0,,
1781,1782,4,1,325,evaluation,494559372995,494560572995,494560573842,494561773842,847,True,998.7849074621918,0,683156.9747832101,0,605.310324609396,0,552948.9765615241,0
1782,1783,4,1,325,evaluation,494560573842,494561773842,494561775720,494562975720,1878,False,605.310324609396,0,552948.9765615241,0,390.6732230068883,0,,
1794,1795,5,2,326,evaluation,494577450116,494578650116,494578654862,494579854862,4746,False,-7007.532641040394,0,,,-7400.0,0,,
