visit_index,target_index,channel,edge,receiver_id,probe_start_sample,candidate_rank,integer_epoch_sample,fractional_epoch_offset_samples,acquired_absolute_baseband_cfo_hz,glrt_residual_cfo_hz,tracking_absolute_baseband_cfo_hz,pilot_nominal_baseband_hz,pilot_relative_raw_cfo_hz,pilot_relative_canonical_display_cfo_hz,pilot_alias_lift,fractional_exact_score,fractional_control_score,fractional_margin,passed_0p025_comparison_gate,integer_device_sample_counter
2165,6,3,upper,0,0,5,9494,1.4190566051453526,1038969.261095535,-103426.84659091166,935542.4145046234,312500.0,623042.4145046234,-58775.767313558375,3,0.041047653938068585,0.03508153417707902,0.005966119760989562,False,495078772059
2165,6,3,upper,0,0,6,12556,-0.9941351597602017,449651.46675412415,9321.732954545687,458973.19970866985,312500.0,146473.19970866985,-80799.52756405741,1,0.03710438615976813,0.04268194907716427,-0.005577562917396139,False,495078775121
2165,6,3,upper,0,0,7,7384,0.0782668345087146,740502.4174205118,15092.329545454922,755594.7469659668,312500.0,443094.74696596677,-11450.70757948776,2,0.03814150889964415,0.03432459423266987,0.003816914666974279,False,495078769949
2165,6,3,upper,1,0,1,4643,0.8382421071858607,255854.4689595679,-68803.26704545626,187051.20191411162,312500.0,-125448.79808588838,101823.92918683888,-1,0.039667779693469844,0.03949726711428069,0.00017051257918915264,False,495078767208
2165,6,3,upper,1,0,2,6840,0.796792315016898,244246.0998871469,-12428.977272727583,231817.12261441932,312500.0,-80682.87738558068,-80682.87738558068,0,0.040713379656625096,0.042477880128047735,-0.0017645004714226392,False,495078769405
2165,6,3,upper,1,0,3,10372,0.7987554451292264,710095.2602366247,-59037.64204545602,651057.6181911688,312500.0,338557.61819116876,111284.8909184415,1,0.03794233163559007,0.037161466048821104,0.0007808655867689654,False,495078772937
2165,6,3,upper,1,0,6,11446,0.8760951689795433,646875.6763349039,-83451.70454545663,563423.9717894474,312500.0,250923.97178944736,23651.244516720093,1,0.03909065477142316,0.034064120565706804,0.005026534205716353,False,495078774011
2166,5,2,upper,0,0,5,7660,0.5285459152545916,347895.9640920837,-36399.14772727364,311496.81636481005,312500.0,-1003.1836351899547,-1003.1836351899547,0,0.03681599352038724,0.03175237953386182,0.0050636139865254184,False,495080173350
2166,5,2,upper,0,0,6,5959,0.7780072048094735,-383988.4775671873,-53710.93750000134,-437699.4150671886,312500.0,-750199.4150671887,-68381.23324900691,-3,0.04087142839725053,0.033110552442772084,0.007760875954478448,False,495080171649
2166,5,2,upper,0,0,7,8058,0.05741088034379057,914793.343101541,-104314.63068182078,810478.7124197203,312500.0,497978.71241972025,43433.25787426572,2,0.04761900845854208,0.03506764972177508,0.012551358736767,False,495080173748
2166,5,2,upper,1,0,2,10968,-0.8236253980226182,851640.2091767237,40838.0681818192,892478.2773585429,312500.0,579978.2773585429,-101839.90445963887,3,0.0362872018560758,0.035128351878081755,0.0011588499779940434,False,495080176658
2166,5,2,upper,1,0,5,1810,0.25328230374993,38663.819632815255,13760.653409091252,52424.47304190651,312500.0,-260075.52695809348,-32802.79968536622,-1,0.042190921250628906,0.033670013759938354,0.008520907490690552,False,495080167500
2166,5,2,upper,1,0,7,12105,1.3351381403926188,-64884.66937096289,35511.36363636452,-29373.30573459837,312500.0,-341873.30573459837,112672.14881085616,-2,0.04000649783610415,0.03327790733197053,0.006728590504133623,False,495080177795
