absolute_rate_outlier_count,absolute_rate_outlier_fraction,applied_phase_slip_count,byte_size,frame_count,internal_status,maximum_absolute_rate_hz_s,median_track_rate_sigma_hz_s,median_track_slip_fraction,path,phase_slip_count,phase_slip_fraction,registry_status,session_id,track_count
3005,0.532612548741581,3788,5196867,5642,complete,17654499.969452888,0.17125801375252,0.6631853785900783,stream-0 · RX0,3788,0.6713931230060263,complete,cap-20260823T095749-8569a833587a,5
10245,0.6749901172750032,9531,14036481,15178,complete,13563724.018220773,0.165494292728843,0.6035460122699386,stream-1 · RX1,9531,0.6279483462906839,complete,cap-20260823T100040-7bc5ba3cc0ac,12
0,,0,1594,0,no_result,,,,stream-0 · RX0,0,,no_result,cap-20260823T100040-7bc5ba3cc0ac,0
0,,0,1594,0,no_result,,,,stream-1 · RX0,0,,no_result,cap-20260823T100040-7bc5ba3cc0ac,0
4245,0.7712572674418605,3387,5089144,5504,complete,19696443.092854895,0.17664325078637658,0.6238360221088981,stream-0 · RX1,3387,0.6153706395348837,complete,cap-20260823T100040-7bc5ba3cc0ac,6
1562,0.5311118667120027,2039,2710722,2941,complete,9852798.202079965,0.14100894839510253,0.6939073568922383,stream-1 · RX0,2039,0.6933015980958858,complete,cap-20260823T100330-f8009ee92145,2
14611,0.5858225411972254,15509,23046315,24941,complete,10069697.067478724,0.16004592195342393,0.639785903751421,stream-1 · RX1,15509,0.621827512930516,partial_coverage,cap-20260823T100330-f8009ee92145,14
7679,0.5598571011956839,8635,12648362,13716,complete,31768539.80733592,0.1680834008062009,0.5971264514591208,stream-0 · RX0,8635,0.6295567220764071,complete,cap-20260823T100330-f8009ee92145,10
5300,0.7473209249858996,4297,6561151,7092,complete,10791589.374806596,0.17897445093094227,0.6231041456016178,stream-0 · RX1,4297,0.6058939650310209,complete,cap-20260823T100330-f8009ee92145,8
16814,0.4424038309740567,25435,35140395,38006,complete,9864002.527014773,0.15753565182168855,0.6522636432508686,stream-0 · RX1,25435,0.6692364363521549,complete,cap-20260823T100905-29d563ac02d9,16
17633,0.5194885543411013,22321,31378661,33943,complete,10192789.802251272,0.15266721847230855,0.6682577565632458,stream-1 · RX1,22321,0.6576024511681348,partial_coverage,cap-20260823T100905-29d563ac02d9,15
