session_id,visit_index,target_index,band,state,reason,time_s,frame_phase_s,timing_rate_s_per_s,timing_sigma_s,cfo_hz,cfo_rate_hz_per_s,cfo_sigma_hz,accepted_observations
scan-hop-002263e74ae412da,970,7,native10,tracking,accepted PSS observation,122.2556111,0.0004959676196931776,2.504222117952304e-06,7.797020343929051e-07,-200000.0,0.0,115878.40381072929,3
scan-hop-002263e74ae412da,970,7,derived2p5,coasting,no observation inside prediction gate,122.255611,0.0004940041504924017,0.0,1.0169394096629383e-05,0.0,0.0,200256.4347252312,1
scan-hop-002263e74ae412da,971,4,native10,lost,no observation inside prediction gate,122.3816774,,,,,,,0
scan-hop-002263e74ae412da,971,4,derived2p5,lost,no observation inside prediction gate,122.3816774,,,,,,,0
scan-hop-002263e74ae412da,972,5,native10,tracking,accepted PSS observation,122.5079557,0.0005073676627069335,1.6977938880147019e-06,8.107734414458999e-07,-200000.0,0.0,115991.37388546311,3
scan-hop-002263e74ae412da,972,5,derived2p5,coasting,no observation inside prediction gate,122.5079558,0.0005061039651020763,0.0,1.0192425533517033e-05,0.0,0.0,200256.95020948458,1
scan-hop-002263e74ae412da,973,2,native10,coasting,no observation inside prediction gate,122.6339176,0.0004828767991150715,1.2638046070591142e-06,2.7477373981757486e-06,200000.0,0.0,142173.5342537251,2
scan-hop-002263e74ae412da,973,2,derived2p5,lost,no observation inside prediction gate,122.6339176,,,,,,,0
scan-hop-002263e74ae412da,974,6,native10,tracking,accepted PSS observation,122.7586052,0.00048300653024276405,1.3365769579472662e-06,1.0074380872214145e-06,-200000.0,0.0,115875.22082564155,3
scan-hop-002263e74ae412da,974,6,derived2p5,lost,no observation inside prediction gate,122.7586052,,,,,,,0
scan-hop-002263e74ae412da,975,1,native10,tracking,accepted PSS observation,122.8848739,0.0005084537304629373,1.9003197573793956e-06,8.364670107171279e-07,132732.04419075052,-551.1499607013055,115989.61661222052,3
scan-hop-002263e74ae412da,975,1,derived2p5,coasting,no observation inside prediction gate,122.8848738,0.0011176783870403741,0.0,2.2809381962071318e-05,1200000.0,0.0,201303.4320317343,1
scan-hop-002263e74ae412da,976,0,native10,lost,no observation inside prediction gate,123.0109049,,,,,,,0
scan-hop-002263e74ae412da,976,0,derived2p5,lost,no observation inside prediction gate,123.010905,,,,,,,0
scan-hop-002263e74ae412da,977,3,native10,tracking,accepted PSS observation,123.1372106,0.0004978529827821555,2.3774286879148903e-06,8.860510664413689e-07,149618.38027485987,-251.52772934529122,101142.32835514349,4
scan-hop-002263e74ae412da,977,3,derived2p5,lost,no observation inside prediction gate,123.1372106,,,,,,,0
scan-hop-002263e74ae412da,978,7,native10,tracking,accepted PSS observation,123.2631662,0.000498194195180493,2.3666122292684257e-06,8.452110371850608e-07,-200000.0,0.0,101095.58916705313,4
scan-hop-002263e74ae412da,978,7,derived2p5,coasting,no observation inside prediction gate,123.2631662,0.0004940041504924017,0.0,2.021799562925542e-05,0.0,0.0,201023.2941913355,1
scan-hop-002263e74ae412da,979,4,native10,acquiring,accepted PSS observation,123.3880145,0.00042668894036447275,0.0,9.844668621014707e-07,-200000.0,0.0,200000.0,1
