session_id,rate_msps,tracklet_id,channel,edge,span_s,observation_count,local_rms_hz,rate_hz_s,eligibility
scan-fw-e07879366dab5aa9,10.0,sha256:499ce75c127b8b310d1f5277e7cc5d650cb18ccf0b33167ee7ed6efc9d0cfa7a,3,lower,10.5402367,13,141.18179426224125,-3522.6183480924774,sparse
scan-fw-31b23a81448b7528,15.0,sha256:80376e8178c7195089aee6d7c8dfd9e7906fdefa2b1c2903a127af632145daee,2,upper,15.596251,13,119.96589525627935,-4231.587964500505,sparse
scan-fw-f94fe74916477d90,10.0,sha256:c2be05a33aac988c1e087aee403d939b6b27345d09143e002ea2399d64795ea7,1,upper,5.3523297,15,52.434574188776224,-3132.409284071998,short
scan-fw-f94fe74916477d90,10.0,sha256:02a201f2398ac5186e01cff681e12244a4d5c9ee7f4c27e9fa320384649107dd,3,upper,6.7522655,15,29.25267462925611,-3625.8559419190465,short
scan-fw-f94fe74916477d90,10.0,sha256:8a1f7ddc4c45bb9d91c500c22812c6d5cfbf50fc07a61f6e93abd039c9de6cb5,2,upper,9.7002539,13,222.31646583514643,-3484.067998720345,sparse
scan-fw-237429fd9b922bb3,15.0,sha256:9a52fcdfc73a087e1fd938c521583dd5936fb80f12f7b35799fb71bd856213b5,3,lower,16.4390256,12,164.04844911303877,-3629.159616835665,sparse
scan-fw-237429fd9b922bb3,15.0,sha256:4aea1695652e2ceb683104e0b5677c663f19393406d2564124187c3638d5f4ae,2,lower,14.468349334,13,209.4583390146769,-3677.1095445038018,sparse
scan-fw-237429fd9b922bb3,15.0,sha256:e4ed1a2649c6433f2f8816ec575a22afed5f2dbb3eeeb4642109045d081fbcc7,4,lower,8.434951867,12,17.235235469713725,-3564.585436557727,sparse
scan-fw-5b85fe8e43a3fc5e,10.0,sha256:12bdcf14561082c900780480ab478399536de9c47cd96e0750a606621b7644a5,2,lower,11.9429147,13,124.24539624589569,-3845.144583313255,sparse
scan-fw-5b85fe8e43a3fc5e,10.0,sha256:b5018c1e642d2a5fcb3c7f5d7df8bbe0ddb68bf97c50a574726a955850e68a36,2,lower,8.294988,13,64.1597928212043,-3507.6908033575464,sparse
scan-fw-5b85fe8e43a3fc5e,10.0,sha256:812d716982972fa0606be345d8b784f7a5a7c857441ff4cb59330da8c2709139,3,lower,13.2069799,13,167.14999091844243,-3832.6403914273014,sparse
scan-fw-c75b23216abb79ea,15.0,sha256:d93bed9dbfe343dbfc17c61f98900cf656386d5294d03753c7be9fa9614bec0d,1,upper,16.296202333,13,365.26786472150116,-3427.173244493623,sparse
scan-fw-c75b23216abb79ea,15.0,sha256:c5c5cb359fd7324d4349ab5be6507a7e0453a538d42a3973b1eb946d30b2c74f,1,upper,7.457628533,13,32.99003720535705,-4345.71022739637,sparse
scan-fw-9455472536b56785,20.0,sha256:41186a82a13858d2ade0b5fb837d2abef83391c0a4ee6d016c7ef92f4f22a2f3,4,lower,9.7027983,13,198.312417155259,-3086.5588262093293,sparse
scan-fw-5277275caed556a0,10.0,sha256:b0102871f61d39a0dff728cd80d73025e83e13326035b66a0a52c8b98f5267d3,1,upper,6.8936353,12,44.05308072393017,-3917.844508761957,short+sparse
scan-fw-1115e1fbd0e794b2,15.0,sha256:656139c41adbbb26707c6c60659c4be0068c7aa5b7a9cca188247a2a70fdb5fd,1,lower,11.523444533,13,92.70303197785826,-3959.607019077103,sparse
scan-fw-eb906a4f2646f979,20.0,sha256:aeef2bcc99f10a504185d21dd483342f532ccf5629a40f8cf5735874eb42008d,1,upper,6.1922654,12,60.96058845003243,-4115.257042181463,short+sparse
scan-fw-eb906a4f2646f979,20.0,sha256:501a348a928fa2d074693ed856c7ecdab1afa8ad8ff79b51e2781660d4ea517e,2,upper,6.894917,12,74.41487060665393,-4100.041899404093,short+sparse
scan-fw-6f7e9e36fe903ede,15.0,sha256:04ad0305cbfb9ace96db4039f015e1caf4835af4d88692f77b6999ad2605e92d,3,upper,12.646946667,12,266.593452176004,-3564.5707370220753,sparse
scan-fw-61cdad43d64350d3,20.0,sha256:dc45f3d821604bdbe63fe34db169da635188b0db5d8686ca557a14b6aaba82a5,2,lower,6.4750187,12,76.19191380772938,-3077.9776246951583,short+sparse
scan-fw-61cdad43d64350d3,20.0,sha256:ea06ff526795ff74b05e2c95daa0284b53d382471760a6ba824204a883aca98a,3,lower,8.633591,13,110.04948846128914,-3392.777080237986,sparse
scan-fw-821d7f224993f340,15.0,sha256:e49d9702bc4016ae237fc1e4bf132ac12bf31fb61fa2aca8e4a4677ba73382eb,2,lower,10.6855,13,218.58048935267803,-2881.2827834376703,sparse
scan-fw-6ff985ae6095569d,10.0,sha256:d4aaef42019584dd62a962009cf90a93551481134804c4eb3dace0c7c18b9bee,1,lower,11.0988996,12,247.57854171926206,-3925.350286445928,sparse
scan-fw-bb6e6788d7ceda8b,20.0,sha256:6adbdb4ad656ece374f0e1d2614f33b730c0dd9c02101204b189b99c9a3f3d09,4,lower,10.689675,13,92.54783829848894,-3610.32742885862,sparse
scan-fw-bb6e6788d7ceda8b,20.0,sha256:704d6165c57240928ca8de4e03189d648f307b09becf82f6c5194540bcc0ebf6,2,lower,14.6122879,13,67.94466648962064,-4353.471429449567,sparse
