session_id,capture_start_utc,channel,edge,receiver_id,observation_count,support_span_s,normalized_rate_hz_per_s,linear_fit_residual_rms_hz
scan-fw-12f09d2e4e1fe26a,2026-09-17T14:40:05.237340Z,4,lower,0,15,10.1176312,-3665.3689125489423,38.636030409586105
scan-fw-12f09d2e4e1fe26a,2026-09-17T14:40:05.237340Z,2,upper,0,12,9.138940133,-3958.1435883960835,86.88553075780202
scan-fw-1a877b7592593f44,2026-09-17T15:00:01.586508Z,1,lower,0,18,10.6829462,-3651.8039696289484,70.51884526393734
scan-fw-1a877b7592593f44,2026-09-17T15:00:01.586508Z,2,upper,0,18,11.804272,-3516.63123826045,189.52669897315826
scan-fw-1a877b7592593f44,2026-09-17T15:00:01.586508Z,1,lower,0,15,8.5787705,-2697.3352182026656,172.87103227772255
scan-fw-1a877b7592593f44,2026-09-17T15:00:01.586508Z,3,lower,0,19,9.9816717,-4190.174528050964,153.34768464544186
scan-fw-1a877b7592593f44,2026-09-17T15:00:01.586508Z,3,upper,0,22,13.3509417,-4341.008505966491,111.0159786506888
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,4,upper,0,21,18.821599866,-3986.8534675637275,138.47014612406352
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,4,lower,0,12,8.998965334,-3988.1830030906376,94.84257152418907
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,4,lower,0,17,9.000311066,-3816.6715397988783,64.97296125887118
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,2,lower,0,29,18.121715666,-3335.0427719346217,446.26355240487123
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,1,upper,0,18,9.981569267,-3578.128113085975,130.05089238846324
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,1,lower,0,16,10.5402948,-3744.0675329525156,24.010159310849453
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,4,lower,0,15,11.526997933,-3571.891166690177,132.1034819214271
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,1,lower,0,26,16.010764133,-3564.995160039969,291.9903899233962
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,1,upper,0,13,14.188276,-3676.0619780229786,154.61219998731042
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,2,lower,0,21,19.241817133,-3668.024045130786,241.22232481282816
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,1,lower,0,17,9.1403411,-3864.3477379811875,77.64066004134166
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,2,lower,0,12,9.9840104,-3849.073200089098,95.10793826221925
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,4,lower,0,18,17.9749577,-3494.604351056004,402.75072269749126
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,1,lower,0,11,8.4376493,-3719.4222299019116,63.30478575011382
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,4,upper,0,11,8.9989527,-4002.0272998340033,63.868925326317274
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,4,lower,0,12,10.6842716,-3974.4941961481845,73.07681783139861
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,1,lower,0,17,10.1203261,-3658.864262575131,734.3290158646741
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,2,lower,0,19,12.785271,-3920.883053087033,155.97054618299524
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,1,upper,0,13,8.5776729,-3399.9482984545825,148.1029466544631
scan-fw-0f339e7b732c4593,2026-09-17T15:30:01.594665Z,1,lower,0,23,11.8069809,-3715.7221540861683,90.40131384548178
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,1,lower,0,16,12.086882,-3716.072663894577,56.2073489504411
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,1,lower,0,21,11.242895467,-3412.979351567973,179.8164004487616
