session_id,radio_id,sample_rate_hz,inventory_segment,visit_index,phase_blind_priority,state,reason,channel,edge,supported,band_phase_resultant,tracked_coherence,wrong_pair_coherence,held_group_count
scan-fw-af33f52c96a606b7,radio_pluto_5d4d,2500000,original_published_cohort,2048,0.5428550792449026,replayed,,2,upper,True,0.9576126456973837,0.163070959374668,0.003624536649510786,3
scan-fw-af33f52c96a606b7,radio_pluto_5d4d,2500000,original_published_cohort,2017,0.5368672360497206,replayed,,2,upper,True,0.9785411376188021,0.19974734541795647,0.005766129899348558,3
scan-fw-af33f52c96a606b7,radio_pluto_5d4d,2500000,original_published_cohort,2015,0.5297214329462747,replayed,,2,upper,True,0.9871585897947478,0.229790783960645,0.0011429473378337114,3
scan-fw-98fb8c5147c1c77b,radio_pluto_5d4d,2500000,original_published_cohort,1555,0.6833844003639632,replayed,,4,upper,True,0.9892040832398052,0.25616511029940037,0.001658767277825611,3
scan-fw-98fb8c5147c1c77b,radio_pluto_5d4d,2500000,original_published_cohort,1554,0.6832284586111962,abstained,ValueError: ambiguous local phase increment near pi,,,False,,,,
scan-fw-98fb8c5147c1c77b,radio_pluto_5d4d,2500000,original_published_cohort,1567,0.6727352432508339,replayed,,4,upper,True,0.9917199051764769,0.286611596637684,0.0043792030274300365,3
scan-fw-98fb8c5147c1c77b,radio_pluto_5d4d,2500000,original_published_cohort,1577,0.6721616413753027,replayed,,4,upper,True,0.9933807681800585,0.26768832819291105,0.0057787784008343996,3
scan-fw-98fb8c5147c1c77b,radio_pluto_5d4d,2500000,original_published_cohort,1563,0.6713266507822426,replayed,,4,upper,True,0.9742072360389781,0.26793960497371405,0.010759478159873735,3
scan-fw-98fb8c5147c1c77b,radio_pluto_5d4d,2500000,original_published_cohort,1569,0.6583128486712732,replayed,,4,upper,True,0.9942521772882734,0.2899544469305296,0.006357789041579747,3
scan-fw-98fb8c5147c1c77b,radio_pluto_5d4d,2500000,original_published_cohort,1552,0.6531893130967843,replayed,,4,upper,True,0.986628075549581,0.25870683966696484,0.006507156499743102,3
scan-fw-98fb8c5147c1c77b,radio_pluto_5d4d,2500000,original_published_cohort,1561,0.6486559113874873,replayed,,4,upper,True,0.9900912441507218,0.2631972793436479,0.004989320560959167,3
scan-fw-b6659f13921e711b,radio_pluto_5d4d,2500000,original_published_cohort,1606,0.580394104908275,replayed,,1,upper,True,0.9860237971925269,0.17719737229121685,0.007719493317139009,3
scan-fw-b6659f13921e711b,radio_pluto_5d4d,2500000,original_published_cohort,28,0.5721083092244025,replayed,,4,upper,True,0.9751972797579357,0.1624716908844456,0.006687157834677756,3
scan-fw-b6659f13921e711b,radio_pluto_5d4d,2500000,original_published_cohort,59,0.5715292574774363,replayed,,4,upper,True,0.9649007151393845,0.15362456184641124,0.0073272644361993865,3
scan-fw-b6659f13921e711b,radio_pluto_5d4d,2500000,original_published_cohort,1596,0.5708180713718903,replayed,,1,upper,True,0.9634639574406804,0.14513957350066617,0.008657762648070774,3
scan-fw-b6659f13921e711b,radio_pluto_5d4d,2500000,original_published_cohort,5,0.5704991474174818,replayed,,4,upper,True,0.9558440243536046,0.14520661939700383,0.0069006660441528105,3
scan-fw-b6659f13921e711b,radio_pluto_5d4d,2500000,original_published_cohort,57,0.564225259681751,replayed,,4,upper,True,0.9763579834335733,0.10738616933277025,0.00246180648837739,3
scan-fw-b6659f13921e711b,radio_pluto_5d4d,2500000,original_published_cohort,1602,0.5539164662742013,replayed,,1,upper,True,0.9673242214699237,0.131386919673971,0.014460138567007508,3
scan-fw-b6659f13921e711b,radio_pluto_5d4d,2500000,original_published_cohort,30,0.5505139724152522,replayed,,4,upper,True,0.9605776124428519,0.15006663958871164,0.006689209354099823,3
scan-fw-32ebdbd20401472f,radio_pluto_5d4d,2500000,original_published_cohort,515,0.6320303365737795,replayed,,1,upper,True,0.9888514450061309,0.2386943854398927,0.0072031478853838374,3
scan-fw-32ebdbd20401472f,radio_pluto_5d4d,2500000,original_published_cohort,522,0.6076125654083211,replayed,,1,upper,True,0.981027496452489,0.23299285949692278,0.01197283578389451,3
scan-fw-32ebdbd20401472f,radio_pluto_5d4d,2500000,original_published_cohort,509,0.6036981253830528,replayed,,1,upper,True,0.9857775288201226,0.22976453064151528,0.002152389878472246,3
scan-fw-32ebdbd20401472f,radio_pluto_5d4d,2500000,original_published_cohort,513,0.5813136289822648,replayed,,1,upper,True,0.9872741844258567,0.2283748922333575,0.0015899674021800387,3
scan-fw-32ebdbd20401472f,radio_pluto_5d4d,2500000,original_published_cohort,525,0.561707190877877,replayed,,1,upper,True,0.9854507210103625,0.2032633306994124,0.006356344750721364,3
scan-fw-32ebdbd20401472f,radio_pluto_5d4d,2500000,original_published_cohort,528,0.542168717815873,replayed,,1,upper,True,0.9822904435689188,0.1968013306407989,0.006656093468911121,3
scan-fw-32ebdbd20401472f,radio_pluto_5d4d,2500000,original_published_cohort,535,0.541999722558567,replayed,,1,upper,True,0.9634661168788582,0.15660128839656906,0.003873659869860374,3
scan-fw-32ebdbd20401472f,radio_pluto_5d4d,2500000,original_published_cohort,424,0.4837012662071581,abstained,ValueError: ambiguous local phase increment near pi,,,False,,,,
