abstention_reasons,abstention_recommended,catalog_number,fit_rms_hz,heldout_rank,heldout_runner_nll_margin,leading_candidate_persisted_on_heldout,nominal_beats_both_wrong_times,nominal_beats_radio_null,radio_id,radio_null_delta,randomized_evaluation_rms_hz,rank,row_kind,scored_observation_count,selected_tau_seconds,session_id,source_observation_count,support_span_seconds,tracklet_id,training_runner_nll_margin,wrong_time_minus_delta,wrong_time_plus_delta
,,56100,4845.8164428694945,,,,,,radio_pluto_19f2,,5087.784474355437,5,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:672042bbc606dbf7729b24a047b617863d2e730495a5e4a9782f5e8805ad1592,,,
,,60587,106.48151311204093,,,,,,radio_pluto_19f2,,129.5714163078132,1,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:64d1cfc1ab2eee3fca702fbdb223fb9b48ad8ad838e92896d83d3b65e6ad4fa3,,,
,,59302,3602.592652435716,,,,,,radio_pluto_19f2,,2480.345627911099,2,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:64d1cfc1ab2eee3fca702fbdb223fb9b48ad8ad838e92896d83d3b65e6ad4fa3,,,
,,62829,3743.2392240580757,,,,,,radio_pluto_19f2,,3159.0072125438837,3,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:64d1cfc1ab2eee3fca702fbdb223fb9b48ad8ad838e92896d83d3b65e6ad4fa3,,,
,,62228,4131.03370697559,,,,,,radio_pluto_19f2,,3650.572850050466,4,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:64d1cfc1ab2eee3fca702fbdb223fb9b48ad8ad838e92896d83d3b65e6ad4fa3,,,
,,60598,4264.456637617542,,,,,,radio_pluto_19f2,,3472.809153370344,5,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:64d1cfc1ab2eee3fca702fbdb223fb9b48ad8ad838e92896d83d3b65e6ad4fa3,,,
,,69521,85.30495896977811,,,,,,radio_pluto_19f2,,95.58796199160444,1,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:9d731eabd07c932df4a5a1fd30ae4ece20a2e67857eacdbfb4579191cc986004,,,
,,61962,550.3297056086286,,,,,,radio_pluto_19f2,,764.3604173383144,2,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:9d731eabd07c932df4a5a1fd30ae4ece20a2e67857eacdbfb4579191cc986004,,,
,,62228,664.4711534460201,,,,,,radio_pluto_19f2,,995.0725792210103,3,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:9d731eabd07c932df4a5a1fd30ae4ece20a2e67857eacdbfb4579191cc986004,,,
,,67349,687.9504275178188,,,,,,radio_pluto_19f2,,1183.4126718264017,4,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:9d731eabd07c932df4a5a1fd30ae4ece20a2e67857eacdbfb4579191cc986004,,,
,,60587,1156.840263727802,,,,,,radio_pluto_19f2,,1409.3722232675384,5,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:9d731eabd07c932df4a5a1fd30ae4ece20a2e67857eacdbfb4579191cc986004,,,
,,60270,140.30532786998228,,,,,,radio_pluto_19f2,,176.77712361900535,1,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:e5b97d0e89b3c4d4a5b3afe9b0587bf5162500441018da02c30eb630f2b75e71,,,
,,56536,1613.3418019027538,,,,,,radio_pluto_19f2,,1332.5381688362884,2,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:e5b97d0e89b3c4d4a5b3afe9b0587bf5162500441018da02c30eb630f2b75e71,,,
,,56553,2427.740393024007,,,,,,radio_pluto_19f2,,1989.7954676492864,3,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:e5b97d0e89b3c4d4a5b3afe9b0587bf5162500441018da02c30eb630f2b75e71,,,
,,68047,2754.5174750395763,,,,,,radio_pluto_19f2,,2248.0853457411768,4,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:e5b97d0e89b3c4d4a5b3afe9b0587bf5162500441018da02c30eb630f2b75e71,,,
,,67107,3176.5074437109806,,,,,,radio_pluto_19f2,,2584.1853970861616,5,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:e5b97d0e89b3c4d4a5b3afe9b0587bf5162500441018da02c30eb630f2b75e71,,,
,,60289,120.49864699889721,,,,,,radio_pluto_19f2,,224.75685316259737,1,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:4e8df3e6ff1ce8a5d83957a032c6ac2815502a03a13ec2483c2819ed0a751b91,,,
,,69536,391.9554629541912,,,,,,radio_pluto_19f2,,227.6408516048439,2,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:4e8df3e6ff1ce8a5d83957a032c6ac2815502a03a13ec2483c2819ed0a751b91,,,
,,65640,405.918831419978,,,,,,radio_pluto_19f2,,407.43120962574767,3,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:4e8df3e6ff1ce8a5d83957a032c6ac2815502a03a13ec2483c2819ed0a751b91,,,
,,56113,740.65808517712,,,,,,radio_pluto_19f2,,576.5673604161803,4,review_candidate,,,scan-fw-cfcf667726e80735,,,sha256:4e8df3e6ff1ce8a5d83957a032c6ac2815502a03a13ec2483c2819ed0a751b91,,,
