actual_rf_hz,channel,edge,normalized_rate_hz_per_s,observation_count,radio_id,receiver_id,residual_rms_hz,sample_rate_hz,session_id,span_seconds,tracklet_id
11690312500.0,4,upper,-3942.639754524798,15,radio_pluto_5d4d,1,144.75125191225922,2500000,scan-fw-d30c80bd75815223,9.17627,sha256:bf85e0fe16e1d913c680157961c14384460cb111e6aaa3e79fab915fbe5e3a4d
10940312500.0,1,upper,-3172.657074581882,14,radio_pluto_5d4d,1,197.1771231346006,2500000,scan-fw-d30c80bd75815223,12.164348,sha256:15783a8c2b6973e4514eb7445772eed0bee8fbafba6047580ec3d53d9b88efeb
11190312500.0,2,upper,-3288.4119582156613,49,radio_pluto_5d4d,1,386.5954738002331,2500000,scan-fw-d30c80bd75815223,27.4990312,sha256:18e38a4ecf96920b03fcaba6cce5d40166304df0011c1823c8925a7cf0195378
11190312500.0,2,upper,-3335.4568676882036,18,radio_pluto_5d4d,0,125.4785526353168,2500000,scan-fw-d30c80bd75815223,17.4176456,sha256:5d5d2a983ac97c3f39bebcb4ced7df93d96e40a0ba3a4fe510c3b2b7bc399893
11440312496.0,3,upper,-3582.542885548641,20,radio_pluto_5d4d,0,90.94388571293254,2500000,scan-fw-d30c80bd75815223,11.5429276,sha256:7b6eb5307ae6711173dba61c04fe37ffec36ecbb041ae2ab4a4ed67cb039f9a5
11690312500.0,4,upper,-3251.9941179178513,56,radio_pluto_5d4d,1,281.7918871438246,2500000,scan-fw-d30c80bd75815223,34.4136504,sha256:ade44b04a6d2fd51b5afe59aa94e625ecad5d497923e2bd6edc5363857406446
11690312500.0,4,upper,-3244.061165474127,15,radio_pluto_5d4d,0,116.92296444414337,2500000,scan-fw-d30c80bd75815223,11.9042672,sha256:a1ba3a92009425c596cb742f80d859e8222d2ec55f706afb2032bfd8bdcfe430
11440312496.0,3,upper,-3865.55294057265,75,radio_pluto_5d4d,0,846.4753823053097,2500000,scan-fw-d30c80bd75815223,39.7377208,sha256:de584bde36b479aec272a0a129be47729bb57e84102965555d11ac031efb0124
10940312500.0,1,upper,-3896.9944479149954,70,radio_pluto_5d4d,0,677.3707047889584,2500000,scan-fw-d30c80bd75815223,38.6549984,sha256:122263d541d0bde8813a61beddbb2e10041710c86acd012a914e2ab6dc7bf195
11440312496.0,3,upper,-3911.723731927776,53,radio_pluto_5d4d,1,431.2404707077194,2500000,scan-fw-d30c80bd75815223,34.3270192,sha256:54d43923d3992840c4f9bd05a811096de8c1ba1ffd74ad064e023e99fa88987a
10940312500.0,1,upper,-3939.7987099622974,45,radio_pluto_5d4d,1,243.5863270568925,2500000,scan-fw-d30c80bd75815223,32.1440568,sha256:31b5033b2cf8e63598735789412ad51e28bcd7306d11e9f3827512b4e84e09c4
11190312500.0,2,upper,-3549.717684476934,10,radio_pluto_5d4d,0,91.48428710501047,2500000,scan-fw-d30c80bd75815223,13.4672212,sha256:8d0de0781b09efc63e07a1ffdd0e03736ef9a668ac831f2e10661091f0f4773b
11190312500.0,2,upper,-3533.612032796462,9,radio_pluto_5d4d,1,113.84341867754226,2500000,scan-fw-d30c80bd75815223,11.7234284,sha256:71cfdb1ae859a257879d828e8596ae2c449b3462241a590322de39cb479fb026
10940312500.0,1,upper,-3532.6589023259,36,radio_pluto_5d4d,1,301.84213121573833,2500000,scan-fw-d30c80bd75815223,25.0162696,sha256:a208c0ae4efee14533b3a5eb4d3141d41c71476a55727d90c7a235e5a50b4433
11190312500.0,2,upper,-3718.881479998868,42,radio_pluto_5d4d,1,764.5974287551007,2500000,scan-fw-b6659f13921e711b,28.4535324,sha256:1485fe09b589bcc41445b5737920f8d7bdc2864199d12e0148ddb7e33a971bea
11190312500.0,2,upper,-3694.577005434935,40,radio_pluto_5d4d,0,835.7697236276482,2500000,scan-fw-b6659f13921e711b,29.3959328,sha256:ea8875b8485287c61e90e40c8e38772f0474f9bafc0e2ff67e700d123402433e
11690312500.0,4,upper,-3733.1418635741106,55,radio_pluto_5d4d,1,677.3738471669212,2500000,scan-fw-b6659f13921e711b,28.1729668,sha256:2477042f95213b3d42be3ca24b80a6e4f3ba7e266e7de9fe5d3fee7baa37a46a
11690312500.0,4,upper,-3744.650627173383,52,radio_pluto_5d4d,0,563.8209730693236,2500000,scan-fw-b6659f13921e711b,27.4716308,sha256:5c775029b21b40c0da21dc06ba30ac8b7705223ec5e13f62f1d2bdb767ec01eb
10940312500.0,1,upper,-3651.4686365406233,22,radio_pluto_5d4d,1,987.6676265728404,2500000,scan-fw-b6659f13921e711b,29.2347972,sha256:1dbf4b20e33d5b1b707e481a7eb92cfe704fc096da857956ced1a36f4d47dba7
10940312500.0,1,upper,-3277.0333384410937,15,radio_pluto_5d4d,0,868.6104338454652,2500000,scan-fw-b6659f13921e711b,25.1734492,sha256:faa15220df8dbe3878d61d87dfb2ee18932a66609f6318e5d6d7420386ae1239
11690312500.0,4,upper,-3028.8968804287315,12,radio_pluto_5d4d,0,96.1978888156925,2500000,scan-fw-b6659f13921e711b,6.5548048,sha256:65acf795f77424b154d72eddaab2bad2c3de8bfecbfa52bf8e6c9122beb6f203
11190312500.0,2,upper,-2990.649107971182,12,radio_pluto_5d4d,1,158.38969603581427,2500000,scan-fw-b6659f13921e711b,7.9374208,sha256:4623a8452f89e34827a636f1a46fcb684ec9385a36d2312cc5fa7efc0fee3e37
11190312500.0,2,upper,-2957.163755811446,15,radio_pluto_5d4d,0,264.65013896444543,2500000,scan-fw-b6659f13921e711b,9.0202148,sha256:9db8021084b84004909ff3cf61988bd6646a71dda8b0144badf2966b97562d11
11690312500.0,4,upper,-3695.003672696763,46,radio_pluto_5d4d,0,660.9530890133568,2500000,scan-fw-b6659f13921e711b,25.0173612,sha256:68b07412d6bf7c4c33b6b122232ef68be1c710fb4abaf2f474093f3626f920c0
