session_id,sample_rate_hz,visit_index,target_index,state,reason,accepted_observations,timing_sigma_ns,cfo_sigma_hz
scan-fw-12f09d2e4e1fe26a,15000000,866,5,tracking,accepted PSS observation,3,828.9622531142493,115584.84873206021
scan-fw-12f09d2e4e1fe26a,15000000,867,7,acquiring,accepted PSS observation,1,631.8267545336457,200000.0
scan-fw-12f09d2e4e1fe26a,15000000,868,2,lost,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,869,3,acquiring,accepted PSS observation,2,737.5100533442354,141762.36921764363
scan-fw-12f09d2e4e1fe26a,15000000,870,6,lost,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,871,2,lost,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,872,3,tracking,accepted PSS observation,3,527.9476961078628,115848.6833932007
scan-fw-12f09d2e4e1fe26a,15000000,873,3,tracking,accepted PSS observation,4,444.6162462414782,100324.95907313866
scan-fw-12f09d2e4e1fe26a,15000000,874,2,lost,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,875,1,tracking,accepted PSS observation,3,975.0372027106996,115970.83895308372
scan-fw-12f09d2e4e1fe26a,15000000,876,4,coasting,no observation inside prediction gate,1,26676.324939238806,201784.18725594413
scan-fw-12f09d2e4e1fe26a,15000000,877,2,lost,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,878,7,acquiring,accepted PSS observation,2,447.0630980369807,141632.27009483552
scan-fw-12f09d2e4e1fe26a,15000000,879,4,lost,no observation inside prediction gate,0,,
scan-fw-12f09d2e4e1fe26a,15000000,880,5,tracking,accepted PSS observation,4,824.0560097794761,101713.23303885837
scan-fw-12f09d2e4e1fe26a,15000000,881,1,tracking,accepted PSS observation,4,836.9029216643511,101028.69581177617
scan-fw-12f09d2e4e1fe26a,15000000,882,4,lost,no observation inside prediction gate,0,,
