case_id,source,comparison_scope,model,prior,scale_s,scan_count,reference_error_km,held_capped_rms_hz,held_uncapped_rms_hz,tau_s,tau_boundary_count,stopping_rule_satisfied,status
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,1,1.9424789018127149,160.97015391610606,160.97015391610606,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,1,2.3397179946938884,158.95892297298764,158.95892297298764,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,1,4.661694011131096,159.17844434235982,159.17844434235982,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,0.2,1,1.9424789018127149,160.97015391610606,160.97015391610606,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,1.0,1,2.3397179946938884,158.95892297298764,158.95892297298764,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,5.0,1,4.661694011131096,159.17844434235982,159.17844434235982,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_baseline_epoch_fixed_id,reno,0.0,1,2.322127609399135,161.4379890652564,161.4379890652564,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,1,1.9424783177404528,160.97015388326747,160.97015388326747,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,1,2.339718484083561,158.95892373791045,158.95892373791045,,0,True,completed
validation_20260922_08_1,reports/2026_09_23_frozen_validation/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,1,4.6616864048518,159.17843970679826,159.17843970679826,,0,True,completed
