sample_index,time_s,raw_phase_deg,compensated_common_band_phase_deg,raw_rx0_abs,raw_rx1_abs,common_rx0_abs,common_rx1_abs
73550,0.02942,-116.339179993,-17.8482801936,30.463092804,44.6878051758,71.8535720392,48.4485434473
73551,0.0294204,-63.8403739929,118.767009379,200.039993286,27.8028774261,117.519902102,73.92238001
73552,0.0294208,103.249328613,62.755919234,70.2139587402,132.548110962,109.290659723,125.995530956
73553,0.0294212,-14.8395175934,-125.868544264,50.3587112427,89.3196563721,66.2803961496,55.9349523647
73554,0.0294216,5.89166688919,115.849141557,241.014526367,126.19430542,154.971413925,131.633488966
73555,0.029422,-172.88381958,68.8190774218,86.2844085693,93.085975647,110.249033565,74.9545900168
73556,0.0294224,-35.9888153076,169.062172318,89.8053436279,42.579334259,63.401978242,32.3708201166
73557,0.0294228,74.0734100342,165.826001609,130.138397217,135.029632568,78.5690317061,138.749543024
73558,0.0294232,70.3676071167,135.977457871,85.4224853516,122.053260803,55.920410435,99.2574849407
73559,0.0294236,-69.8293457031,42.4750828614,221.472351074,14.1421356201,152.987427766,28.2327597407
73560,0.029424,44.0966567993,52.3839673524,129.999984741,65.5515060425,166.060537907,38.8630907992
73561,0.0294244,-117.620193481,-53.9083549998,67.977935791,40.0124969482,101.78405431,53.0979969169
73562,0.0294248,86.5600509644,-138.418131714,130.908355713,63.6553230286,122.823958365,76.8665787247
73563,0.0294252,-154.712661743,106.466900144,192.333053589,130.969467163,153.268667965,76.794324731
73564,0.0294256,-96.981048584,148.201802098,49.3659820557,48,95.4167662836,34.3063289413
73565,0.029426,99.2656173706,-71.7901043627,53.1507301331,171.187026978,41.8555661994,92.1232691417
73566,0.0294264,20.6447067261,-3.89784338492,81.2157592773,50.2891616821,41.2265183535,48.0496445703
73567,0.0294268,-15.1965723038,-134.532529274,70.0071411133,95.634727478,89.5349080838,131.018406893
73568,0.0294272,60.2317657471,72.8520356504,171.976745605,116.811813354,137.171252735,96.9845189748
73569,0.0294276,163.976379395,-43.6827412224,237.800338745,86.7294692993,188.678535668,106.26856906
73570,0.029428,-98.4104995728,65.0527748564,86.3133773804,50.2195167542,38.3351023805,51.411638659
73571,0.0294284,-54.992351532,-126.499899577,82.6075057983,160.031234741,111.824561368,147.515871647
73572,0.0294288,112.143371582,-152.828149317,108.226615906,63.245552063,105.215278662,92.5113059518
73573,0.0294292,67.6129989624,-156.041652154,62.3939094543,138.32208252,44.5425727819,112.625259671
73574,0.0294296,-99.2255630493,172.086950882,25.0798740387,117.388237,54.1887752804,112.244778037
73575,0.02943,-136.960952759,160.899911962,137.058380127,74.3303451538,111.455527884,88.3373428918
73576,0.0294304,100.459403992,137.724014109,79.1201553345,177.673858643,53.3046780177,82.3316134912
73577,0.0294308,-3.80526733398,153.840158602,133.093948364,104.043258667,131.686506646,32.578177061
73578,0.0294312,122.809906006,126.673526702,164.757385254,21.2602920532,137.131388028,45.8579509752
