start_sample,stop_sample_exclusive,center_time_s,most_likely_rx1_minus_rx0_phase_deg,coherence_magnitude,minimum_normalized_prediction_error,conditional_phase_jackknife_se_deg,inside_paired_glrt_probe
167500,172500,0.0679998,166.540610254,0.205372903524,0.97868379495,4.19481018723,1
168750,173750,0.0684998,168.212442888,0.209204964592,0.977871813066,5.33078159218,1
170000,175000,0.0689998,168.507641868,0.211890461179,0.977293421886,4.7523422786,1
171250,176250,0.0694998,170.425357585,0.218025183859,0.975943143428,5.0127674559,1
172500,177500,0.0699998,169.948954635,0.220659641188,0.97535087161,4.1310919702,1
173750,178750,0.0704998,170.155273486,0.213191676793,0.977010393469,3.96728322475,1
175000,180000,0.0709998,166.651180009,0.21238028321,0.977187093296,4.64030266296,1
176250,181250,0.0714998,170.571310292,0.204784693118,0.978807044041,3.82418713767,1
177500,182500,0.0719998,176.749709057,0.213095543153,0.977031365663,5.34902568009,1
178750,183750,0.0724998,176.302412157,0.214871247779,0.976642384334,3.77228368329,1
180000,185000,0.0729998,177.989378183,0.203487746781,0.979077492801,4.19157340362,1
181250,186250,0.0734998,169.687639793,0.201185133794,0.979553235889,5.17156377912,1
182500,187500,0.0739998,161.607662462,0.192269035382,0.98134225326,2.89966855746,1
183750,188750,0.0744998,161.163669201,0.198922377709,0.980015248681,3.08201617185,1
185000,190000,0.0749998,158.342053819,0.211127682898,0.977458490942,1.89197914922,1
186250,191250,0.0754998,155.902029667,0.197312165876,0.980340710772,2.75269423568,1
187500,192500,0.0759998,152.406623161,0.216968202935,0.976178671615,3.4363257402,1
188750,193750,0.0764998,149.748116205,0.217995977119,0.975949667739,2.17425976735,1
190000,195000,0.0769998,146.549864754,0.220589255291,0.975366792776,3.3086109427,1
191250,196250,0.0774998,146.391289266,0.232761197282,0.972533919737,2.08348848183,1
192500,197500,0.0779998,143.893692573,0.210889940484,0.977509812228,4.10936427761,1
193750,198750,0.0784998,138.852004677,0.206230386915,0.978503463209,2.43410833547,1
195000,200000,0.0789998,139.997664978,0.203042940246,0.979169834307,4.69269540963,1
196250,201250,0.0794998,141.88338393,0.194062003549,0.980989265374,3.44562181191,1
197500,202500,0.0799998,146.187007303,0.19656748756,0.980490297165,4.63824003291,1
198750,203750,0.0804998,152.531197967,0.199153694691,0.979968267798,1.97718130142,1
200000,205000,0.0809998,148.223082779,0.184875388779,0.982761970481,4.60161448436,1
201250,206250,0.0814998,140.287296593,0.18281841726,0.983146696231,5.78834432101,1
202500,207500,0.0819998,133.680605306,0.190076029543,0.981769373628,4.93659488583,1
203750,208750,0.0824998,122.974593555,0.189227505682,0.98193327222,2.98238179907,1
205000,210000,0.0829998,122.417831816,0.189095629718,0.981958676738,3.20503862827,1
206250,211250,0.0834998,120.220254464,0.184419892725,0.982847548284,3.21354913345,1
207500,212500,0.0839998,117.453648808,0.172654381812,0.984982469103,3.10321587225,1
208750,213750,0.0844998,116.599363397,0.173196396229,0.984887307428,3.66517854097,1
210000,215000,0.0849998,111.249961944,0.182719914365,0.983165007969,4.05570662159,1
211250,216250,0.0854998,108.691216822,0.190088348152,0.981766988596,3.86696821408,1
212500,217500,0.0859998,109.461125869,0.193533276272,0.981093711618,3.98308798046,1
213750,218750,0.0864998,113.201883618,0.198339610664,0.980133357682,5.05033222462,1
215000,220000,0.0869998,120.897136461,0.197943674466,0.980213396021,4.09041168989,1
216250,221250,0.0874998,127.489060373,0.193006544167,0.981197469375,3.75704641378,1
217500,222500,0.0879998,132.953346963,0.200255092326,0.979743792018,2.8300151913,1
218750,223750,0.0884998,136.784338428,0.199985834631,0.9797987885,3.55009933669,1
220000,225000,0.0889998,139.013570779,0.202715596349,0.979237656035,2.2519029245,1
221250,226250,0.0894998,142.994096883,0.209074710486,0.977899670434,3.63688268919,1
222500,227500,0.0899998,146.157778497,0.213744697014,0.976889555937,3.32015894493,1
223750,228750,0.0904998,152.171110199,0.210906405499,0.977506259888,4.40437957931,1
225000,230000,0.0909998,158.926927657,0.218738694943,0.975783471542,2.94870433761,1
226250,231250,0.0914998,160.856866843,0.229578807367,0.973290075573,3.0946401037,1
227500,232500,0.0919998,163.46841051,0.214613683938,0.976699015391,3.8384754876,1
228750,233750,0.0924998,165.882609357,0.219041178104,0.975715615482,3.46578353399,1
230000,235000,0.0929998,166.695745396,0.215480178873,0.976508214258,4.39809075844,1
231250,236250,0.0934998,169.22231654,0.214984476661,0.976617465948,2.48677778823,1
232500,237500,0.0939998,168.208422081,0.226889941781,0.973920404509,2.92249673581,1
233750,238750,0.0944998,162.448262372,0.201634149317,0.97946090776,3.35804914075,1
235000,240000,0.0949998,161.753982004,0.201395155998,0.9795100771,3.79839692393,1
236250,241250,0.0954998,159.302359683,0.193811217321,0.981038843288,3.75946618999,1
237500,242500,0.0959998,148.137212562,0.192858518239,0.981226575233,6.62606528151,1
238750,243750,0.0964998,139.958075423,0.211333443645,0.977414024657,8.49661309106,1
240000,245000,0.0969998,130.428322332,0.216122486908,0.976366258457,5.63357729207,1
241250,246250,0.0974998,117.181568023,0.22125413916,0.975216184189,4.97788149838,1
242500,247500,0.0979998,106.339460106,0.216250009194,0.976338022164,5.39855754712,1
243750,248750,0.0984998,100.614240524,0.204771612471,0.978809780665,5.27118135561,1
245000,250000,0.0989998,90.7286331132,0.218673001488,0.975798195541,2.49259165622,1
246250,251250,0.0994998,87.813619517,0.225821442314,0.974168710333,2.44968209073,1
247500,252500,0.0999998,84.3044617228,0.208644291517,0.97799159486,2.99275401692,1
248750,253750,0.1004998,78.105170259,0.215616494059,0.97647812443,3.43134680105,1
250000,255000,0.1009998,74.0034293702,0.204777828477,0.978808480227,3.36727136019,1
251250,256250,0.1014998,65.9923970616,0.205933362475,0.978566017303,3.42293222748,1
252500,257500,0.1019998,61.2140110227,0.212486594558,0.977163981701,3.62782452836,1
253750,258750,0.1024998,53.5840151704,0.197763106793,0.980249842434,5.76628422083,1
255000,260000,0.1029998,45.5685427695,0.206245746143,0.978500225957,4.25276845169,1
256250,261250,0.1034998,39.6482072352,0.200297365084,0.979735150712,5.28711013164,1
