current_center_phase_samples,current_crossfit_frame_rms_ns,current_frame_residual_mad_ns,current_split_even_odd_difference_ns,frame_count,glrt_cfo_hz,prior_pss_cfo_hz,time_s,track_rank,visit_index,wide_10mhz_center_phase_samples,wide_10mhz_crossfit_frame_rms_ns,wide_10mhz_frame_residual_mad_ns,wide_10mhz_grid_edge_count,wide_10mhz_split_even_odd_difference_ns,wide_2.5mhz_center_phase_samples,wide_2.5mhz_crossfit_frame_rms_ns,wide_2.5mhz_frame_residual_mad_ns,wide_2.5mhz_grid_edge_count,wide_2.5mhz_split_even_odd_difference_ns,wide_5mhz_center_phase_samples,wide_5mhz_crossfit_frame_rms_ns,wide_5mhz_frame_residual_mad_ns,wide_5mhz_grid_edge_count,wide_5mhz_split_even_odd_difference_ns,wide_base_cfo_hz,wide_phase_residual_rms_cycles,wide_slope_sigma_hz
1809.117953708273,966.092218601515,539.0420347983375,-227.5057542066861,90,100850.97288529646,-352431.1083128255,112.9868719,4,831,1809.1100511187856,964.9634194297105,536.922077827296,0,-223.86230878755669,1809.2683699743995,978.2762822857965,548.6694664906169,44,-230.24310936443726,1809.1498395275694,963.656226324273,551.2854078002696,17,-227.37368383614012,-200009.47607569027,0.3961992972183551,1.1367659173893827
1807.2269112606516,881.5032886833988,525.4421815017602,-1.266852752360137,90,100374.59841143679,-360161.2578502266,113.1069704,4,832,1807.2933813233296,878.9633873254278,539.4499920482173,0,-27.299372450124793,1807.3997717853795,889.3686823508544,459.1199059821178,56,2.499890691069595,1807.313233053854,888.1100874499112,493.58228593560574,29,2.6278379973518895,-200012.24906423927,1.3484471683691712,4.102016241569881
1796.6780734474603,1091.1359546154285,705.2742763752675,-269.9768735149519,90,93976.03676303312,-370694.4248681674,114.8930741,4,845,1796.6733503231148,1093.059916022558,696.19556958515,0,-276.1567223865313,1796.6569067852583,1085.339586770885,722.8433209703321,50,-221.94701410107882,1796.701313880524,1095.3881521180385,713.1396263466526,21,-236.94645392388338,-200064.96670561488,0.44210291781381794,1.3342266997135614
1793.338423438107,1084.663575462663,707.308599884159,-285.736357177575,90,93654.92582949086,-340408.2928089502,115.0133489,4,846,1793.3602654933177,1086.6777787958913,708.8714223490862,0,-289.4449198759503,1793.3404561758596,1086.8268815182053,707.1718709774741,50,-258.4989065580885,1793.313053545456,1095.486161085512,719.7622583977876,18,-279.7969836486118,-200021.02147205579,0.753156753379391,2.1901695562361607
1777.8614003252223,872.3192741573799,457.8589226021242,-44.48238543818661,90,88928.48230083549,-378958.5363134869,116.3167042,4,856,1777.832734000093,868.3672445275109,465.7629643491241,0,-39.762620561396034,1777.787668976799,868.4772362766328,485.7363816722043,46,-26.148388363162667,1777.754160802231,865.1369733354971,482.82749326670205,20,-47.52954240457257,-199979.4002282648,0.5807174773090993,1.6932705619035755
1766.122284317219,776.5018945426727,316.3861255832281,183.79437036828676,90,86437.94581250382,-363832.8453385923,117.018386,4,861,1766.130635423783,774.3433439275047,310.84220648885463,0,179.31874138948842,1766.1275074898733,775.0177514198676,235.78021292856133,40,150.0606101532867,1766.103330634643,778.3081203636715,267.4775951112806,21,151.09462641476057,-199982.2302960639,0.5099593420774325,1.496985635285881
1763.9834816971922,917.1206595062743,510.81965314369137,-159.56242450429272,90,86010.91835715531,-389145.7446871048,117.1387457,4,862,1764.013727097401,919.364026047453,518.0478580728111,0,-153.6182330950396,1764.0291699958116,917.4860583160588,443.19100950668343,39,-167.59024410848724,1764.0425255338782,920.2927908949185,458.99874582996136,16,-159.30880231708215,-200033.33126587997,0.7220335792204804,2.0310979009207055
1750.9133841158798,780.8973379812048,495.38757205191865,-29.792435552917595,90,83535.68152124979,-368317.50260874355,117.8202287,4,867,1750.9531218256461,783.3700337245997,496.6051193132232,0,-41.89654966776288,1750.9224614485388,789.1415445497983,484.4790608461633,32,-32.78290989655943,1750.8982077797102,787.1998791876237,478.5758824073758,13,-32.721284167018894,-200010.5374717809,0.35216245220104836,0.9578033585385727
1748.2089679071764,838.003324847632,166.39659103391497,106.93337972816153,90,83143.52305632095,-363383.4158108736,117.940622,4,868,1748.2123522326856,837.7316697889258,178.3986470391337,0,113.12963519512778,1748.5230672490202,821.730750673378,218.84957976768618,44,99.10080414911135,1748.2459443687114,826.7747137767795,190.22693619504346,16,101.83441013850825,-199987.66427805406,0.5052339595404532,1.51017743377754
1743.9723762832027,862.217158817279,458.58950148503743,235.4171299209156,90,82252.32157447652,-382138.1015047357,118.2211514,4,870,1744.004946412527,863.9922447818637,472.73244842537474,0,226.27693601889405,1744.061780236275,861.8939247864591,437.77825043748453,38,238.15400160474383,1744.077081194833,868.272338270897,459.3214714298342,19,235.13419662140222,-199977.69636451578,0.801788961470162,2.386770247231996
