joint_state,session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,distinct_paired_visits,rx0_stored_top_id,rx1_stored_top_id,joint_best_number,joint_runner_up_number,joint_train_leader_persisted,joint_best_eval_rms_hz,joint_runner_eval_rms_hz,rx0_individual_best,rx1_individual_best
scored,scan-hop-1b83fb54ac5af24b,sha256:0e3867308212632f07f0ff487b0c16ab5a30693b2bb8cc2870dcd7370fad7d60,sha256:0ed51541d121fd6273a1355e44c06ae4c416136d3c73cbfb5a8a33d4fa308937,same-leader,14,66510,66510,66510,66516,True,63.90586618427105,480.9146083925792,66510,66510
scored,scan-hop-1b83fb54ac5af24b,sha256:1fe4eabef54833c3ee40be42a54ea59f534c09a9c86beadc0b3fd04d6048458d,sha256:52219530009a2bfd8c796e8ef56abeee9db9635e3895487484af593637a7d760,same-leader,11,66510,66510,66510,66516,True,48.065114248361425,481.7195294310672,66510,66510
scored,scan-hop-1b83fb54ac5af24b,sha256:44e84cd729a06b24fee56975eb1c3b91d1c1a64c0b3b274c20ac9fe05c7e22d2,sha256:620c7fb55cabfcc9da236301e14e219cdb461df1558722ad9a4db78cfac4a22e,same-leader,20,66499,66499,66499,67903,True,91.61017325404221,793.9408435876392,66499,66499
scored,scan-hop-1b83fb54ac5af24b,sha256:599a907894302b76b890877368885d75668c9f254af23b3a353715f8ca526c2b,sha256:4ff384f6f59a34eb0e1f49dccb407ed6a2f6844fe68fc13ab4d681d30b3a2a0b,same-leader,11,66557,66557,66557,63095,True,116.08812876105718,693.065508398977,66557,66557
scored,scan-hop-1b83fb54ac5af24b,sha256:5bf0a9eb0d0e5094650f2c884400fe9687cc51e9a1c67ad93eef09570aa9596c,sha256:c7e6ca44135747d6babbac503ea5e56c2c2e914f3bf9bfb0537fb82270e751c8,same-leader,34,66499,66499,66499,67903,True,154.85495133183636,2383.869638320718,66499,66499
scored,scan-hop-1b83fb54ac5af24b,sha256:645e5827194d9ab23dc08e8b425b44fa1e3e630abe67bd690e50b0f2c35adba6,sha256:09fba236273477e55a698c9896c94359eef4b46996fe2636b9f8f5792bbb8b9f,same-leader,8,66516,66516,66516,66510,True,51.00108013128938,133.69786805972217,66516,66516
scored,scan-hop-1b83fb54ac5af24b,sha256:852ccd5878eb8e479da5bb88ae4384f14192c08427438e8adce8c117196f0a2f,sha256:f313418313a3a75351781f6f707e6c2786b3e7231a10007577b2cf5a67b6635d,unreviewed-side,7,,66510,66510,66516,True,128.81387321836635,188.19002372369036,66510,66510
scored,scan-hop-1b83fb54ac5af24b,sha256:8b0726a86b90f3fdc7b8b1f76e40ce54c5f5a9166c8e0286488952dbe15f84c7,sha256:bbd3b2079a934109ce09f7ed075c41746d8254be69be388996e863e1c84194e3,same-leader,6,64811,64811,64811,55488,True,73.81679899459502,1267.7912102609,64811,64811
scored,scan-hop-1b83fb54ac5af24b,sha256:9cac44a2194716e20c74e4fd8e34b02e7fe2885e72d2c9f5b3a6d0c5a44e3435,sha256:d0115f4c75f0e8bf40855b417f2fdcfe267c2594f11683afb641b5f51597a8b7,unreviewed-side,4,61927,,61927,68071,False,827.8842155188204,816.1282344176069,61927,68071
scored,scan-hop-1b83fb54ac5af24b,sha256:bd241efa677644dfa892650b2a63bd3ee4e4c83e38bafb747a73e5d65aa9deaa,sha256:cd38cbafc7d408de3873278e79975f8553433b81708a6d24b38b367d7add858d,unreviewed-side,4,,66557,66557,63095,True,48.46453010248425,241.93149711637432,66557,66557
scored,scan-hop-1bec690f93ce0b1e,sha256:0d17bba4a55969e29994ab2219835967216dfbd48abbe225866aefe93368f42d,sha256:0a0d1af3eb7995817578b1fb8d13dc90e1a22f602750f88b9a630b23e9d10572,same-leader,8,58547,58547,58547,58113,True,97.42400650189444,178.6856594676157,58547,58547
scored,scan-hop-1bec690f93ce0b1e,sha256:0e1776b8ebd8841389946d18703048f97f8e7b48d2b384640466d029b5da7134,sha256:e5d8f241dd54d347dc7723fffe4317a63c5259c398a09a858db7ea8de9f894f4,same-leader,11,59498,59498,59498,67822,True,99.79265425092959,359.8383993955055,59498,59498
scored,scan-hop-1bec690f93ce0b1e,sha256:3d693955fff43a14888bfa918825c2bae3c974e67466426d2a0c87ae3564c3a7,sha256:e268dfdf404001981fab1bf4334e385911f642a0ff7babd4a479c35c87cef9d5,same-leader,16,65368,65368,65368,60267,True,153.0685576843141,1957.1376731775656,65368,65368
scored,scan-hop-1bec690f93ce0b1e,sha256:3f146d625fbdc9b1ef49e7fb09dc20af96970fac865197981d2cf0e764aa6588,sha256:6689bebaccec638c19d7e79a3da03f0de1da857aebc96717aebe006577d66317,same-leader,11,67699,67699,67699,54776,True,86.97639118143013,3049.0127274963875,67699,67699
scored,scan-hop-1bec690f93ce0b1e,sha256:45b74b9bdf5c8d405aa5cf24e0a349e58b9f7221cee8f796c0a6c2d5a030ce77,sha256:d354131509e6ae6421de91ce139ef0a726d64a5b2dffb41b864bddad50e99668,same-leader,11,67704,67704,67704,65924,True,98.9089838095639,2466.7760834524906,67704,67704
